N,S(r/min),ap(mm),ae(mm),F(mm/min),s(mm),MRR(mm3/min),G
,15000,1,2.92194,6500,0,316.5435,G03 X-78.802 Y37.199 I-3.985 J3.301
,15000,1,2.21134,6500,0,239.561833,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,1,2.0093,6500,0,217.674167,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,1,1.73404,6500,0,187.854333,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,1,1.64016,6500,0,177.684,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,1,1.4823,6500,0,160.5825,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,1,1.3015,6500,0,140.995833,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,1,1.20596,6500,0,130.645667,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,1,1.12107,6500,0,121.44925,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,1,1.02775,6500,0,111.339583,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,1,0.920632,6500,0,99.735133,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,1,0.935354,6500,0,101.330017,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,1,0.851137,6500,0,92.206508,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,1,0.877076,6500,0,95.016567,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,1,0.857018,6500,0,92.843617,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,1,0.852718,6500,0,92.377783,G02 X-73.679 Y42.804 I9.359 J-3.41
,15000,0,0,6500,0,0,G01 X-73.557 Y42.865
,15000,1,0,6500,0,0,G01 X-73.557 Y42.865
,15000,1,0.044721,6500,0,4.844818,G01 X-73.557 Y42.865
,15000,1,0,6500,0,0,G01 X-73.557 Y42.865
,15000,1,0.268328,6500,0,29.068867,G01 X-73.557 Y42.865
,15000,1,0.223607,6500,0,24.224092,G01 X-73.557 Y42.865
,15000,0,0,6500,0,0,G01 X-73.557 Y42.865
,15000,1,0.31305,6500,0,33.91375,G01 X-73.557 Y42.865
,15000,1,0,6500,0,0,G01 X-73.557 Y42.865
,15000,0,0,6500,0,0,X-73.554 Y42.94
,15000,0,0,6500,0,0,X-73.554 Y42.94
,15000,0,0,6500,0,0,X-73.554 Y42.94
,15000,0,0,6500,0,0,X-73.554 Y42.94
,15000,0,0,6500,0,0,X-73.554 Y42.94
,15000,0,0,6500,0,0,X-73.554 Y42.94
,15000,0,0,6500,0,0,X-73.554 Y42.94
,15000,0,0,6500,0,0,X-73.554 Y42.94
,15000,0,0,6500,0,0,X-73.554 Y42.94
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
